convention,scale,pool,dim,lam,attack,n_train,n_test,attack_budget,budget_mult,review_budget,policy,rep,n_flips,prevalence,score_auroc,recovered,precision,recall,precision_lift,remaining_poisoned_after_delete,test_logloss_no_action,test_logloss_after_delete,test_logloss_after_correct,test_logloss_clean_oracle,delete_minus_no_action,correct_minus_no_action
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,1.0,280,random,7,280,0.1497326203208556,0.6644699011680144,42,0.15,0.15,0.00026737967914439165,238,0.6463951647297073,0.6477789268569082,0.6466016495689129,0.6460955258853627,0.001383762127200927,0.00020648483920560068
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,1.0,280,random,8,280,0.1497326203208556,0.6644699011680144,38,0.1357142857142857,0.1357142857142857,-0.014018334606569899,242,0.6463951647297073,0.6464037443119129,0.6460865520956046,0.6460955258853627,8.579582205681113e-06,-0.00030861263410264517
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,1.0,280,random,9,280,0.1497326203208556,0.6644699011680144,41,0.14642857142857144,0.14642857142857144,-0.003304048892284167,239,0.6463951647297073,0.6451157263835768,0.6462345574695055,0.6460955258853627,-0.0012794383461304237,-0.00016060726020172833
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,top,-1,280,0.1497326203208556,0.6644699011680144,74,0.13214285714285715,0.2642857142857143,-0.017589763177998458,206,0.6463951647297073,0.6580412662959216,0.6461358930282391,0.6460955258853627,0.011646101566214373,-0.0002592717014681112
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,bottom_oracle_diagnostic,-1,280,0.1497326203208556,0.6644699011680144,2,0.0035714285714285713,0.007142857142857143,-0.14616119174942704,278,0.6463951647297073,0.7476365493236635,0.6464957844812199,0.6460955258853627,0.10124138459395626,0.0001006197515126539
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,two_tailed,-1,280,0.1497326203208556,0.6644699011680144,0,0.0,0.0,-0.1497326203208556,280,0.6463951647297073,0.643521095269703,0.6463951647297073,0.6460955258853627,-0.002874069460004236,0.0
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,0,280,0.1497326203208556,0.6644699011680144,89,0.15892857142857142,0.31785714285714284,0.009195951107715816,191,0.6463951647297073,0.6482510613195618,0.6461222890966566,0.6460955258853627,0.001855896589854522,-0.0002728756330506732
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,1,280,0.1497326203208556,0.6644699011680144,82,0.14642857142857144,0.29285714285714287,-0.003304048892284167,198,0.6463951647297073,0.6467924717989447,0.6462211884047772,0.6460955258853627,0.0003973070692374625,-0.00017397632493010295
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,2,280,0.1497326203208556,0.6644699011680144,89,0.15892857142857142,0.31785714285714284,0.009195951107715816,191,0.6463951647297073,0.6485781231826331,0.6463377638436397,0.6460955258853627,0.0021829584529258206,-5.7400886067537904e-05
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,3,280,0.1497326203208556,0.6644699011680144,94,0.16785714285714284,0.3357142857142857,0.01812452253628724,186,0.6463951647297073,0.6476406958701302,0.6460226458947977,0.6460955258853627,0.0012455311404229175,-0.00037251883490951876
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,4,280,0.1497326203208556,0.6644699011680144,73,0.13035714285714287,0.26071428571428573,-0.019375477463712737,207,0.6463951647297073,0.6468752436516687,0.6465804797814131,0.6460955258853627,0.0004800789219614465,0.00018531505170582552
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,5,280,0.1497326203208556,0.6644699011680144,78,0.1392857142857143,0.2785714285714286,-0.010446906035141312,202,0.6463951647297073,0.6469399959252642,0.6463365600063528,0.6460955258853627,0.0005448311955569274,-5.860472335450506e-05
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,6,280,0.1497326203208556,0.6644699011680144,84,0.15,0.3,0.00026737967914439165,196,0.6463951647297073,0.6461034150369065,0.6462972935488608,0.6460955258853627,-0.000291749692800769,-9.787118084647606e-05
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,7,280,0.1497326203208556,0.6644699011680144,87,0.15535714285714286,0.3107142857142857,0.0056245225362872575,193,0.6463951647297073,0.6475353147663429,0.6469156673215813,0.6460955258853627,0.00114015003663559,0.0005205025918740835
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,8,280,0.1497326203208556,0.6644699011680144,74,0.13214285714285715,0.2642857142857143,-0.017589763177998458,206,0.6463951647297073,0.6479018068712464,0.6466266209963552,0.6460955258853627,0.0015066421415391718,0.0002314562666478892
cat,n3000,2,384,0.001,margin_targeted,1870,2058,280,2.0,560,random,9,280,0.1497326203208556,0.6644699011680144,80,0.14285714285714285,0.2857142857142857,-0.006875477463712754,200,0.6463951647297073,0.6472148919370448,0.6468149771377066,0.6460955258853627,0.0008197272073375839,0.0004198124079993759
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,top,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6411145393701212,0.6471848602310166,0.6487834217561271,-0.0060703208608954284,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,bottom_oracle_diagnostic,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6591203331432253,0.6471848602310166,0.6487834217561271,0.011935472912208644,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,two_tailed,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6427397871974616,0.6471848602310166,0.6487834217561271,-0.004445073033555014,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,0,279,0.14991939817302524,0.6489177077244448,18,0.12857142857142856,0.06451612903225806,-0.021347969601596684,261,0.6471848602310166,0.6471663736877281,0.6474466204535754,0.6487834217561271,-1.8486543288509516e-05,0.000261760222558749
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,1,279,0.14991939817302524,0.6489177077244448,26,0.18571428571428572,0.0931899641577061,0.03579488754126048,253,0.6471848602310166,0.6467936804490616,0.6474450943602216,0.6487834217561271,-0.00039117978195502,0.00026023412920495037
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,2,279,0.14991939817302524,0.6489177077244448,17,0.12142857142857143,0.06093189964157706,-0.028490826744453815,262,0.6471848602310166,0.6473852433287652,0.647508370003057,0.6487834217561271,0.00020038309774861318,0.0003235097720404312
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,3,279,0.14991939817302524,0.6489177077244448,23,0.16428571428571428,0.08243727598566308,0.014366316112689043,256,0.6471848602310166,0.6472327315793979,0.6472788747301796,0.6487834217561271,4.7871348381245404e-05,9.401449916301985e-05
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,4,279,0.14991939817302524,0.6489177077244448,24,0.17142857142857143,0.08602150537634409,0.021509173255546188,255,0.6471848602310166,0.6481484848562196,0.6471676359852289,0.6487834217561271,0.0009636246252029412,-1.7224245787761383e-05
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,5,279,0.14991939817302524,0.6489177077244448,23,0.16428571428571428,0.08243727598566308,0.014366316112689043,256,0.6471848602310166,0.6463560932129556,0.6474269674691812,0.6487834217561271,-0.0008287670180610052,0.00024210723816453505
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,6,279,0.14991939817302524,0.6489177077244448,17,0.12142857142857143,0.06093189964157706,-0.028490826744453815,262,0.6471848602310166,0.6476708589746772,0.6470769136370202,0.6487834217561271,0.00048599874366062057,-0.00010794659399637752
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,7,279,0.14991939817302524,0.6489177077244448,23,0.16428571428571428,0.08243727598566308,0.014366316112689043,256,0.6471848602310166,0.647793005989405,0.6475662201764834,0.6487834217561271,0.000608145758388412,0.00038135994546673047
