convention,scale,dim,lam_dev_sel,n_train_mean,n_over_d,regime,train_acc,train_logloss,test_logloss,test_acc,train_test_gap,beats_log2,hessian_cond,fm_cleanhead_auroc,fm_refit_auroc,fm_refit_auroc_sd,n_pools_refit_below_half,marg_excess_reversed,theta_dist
cat,n3000,128,0.001,1849.2,14.446875,N>d,0.64768466219868,0.6379198006251589,0.6484095880360634,0.6183673469387755,0.01048978741090456,True,2.6245618640178847,0.5800176292358618,0.15216324885256113,0.1122408843816855,5,0.6416711835056919,7.764765325344382
cat,n3000,256,0.001,1849.2,7.2234375,N>d,0.6577569300153098,0.6335004125067452,0.6480641113794798,0.6175898931000972,0.014563698872734565,True,2.816035397896909,0.5941006771041877,0.15236360690753792,0.1126582171866572,5,0.6380709291221298,7.905970754937142
cat,n3000,384,0.001,1849.2,4.815625,N>d,0.6592739119107882,0.6324859426543145,0.6478742030589235,0.6185617103984451,0.015388260404608967,True,2.9115679360511075,0.5971354385624879,0.1524057869001624,0.11279130716485637,5,0.6372768372920514,7.937969469345762
resp,n1000,32,0.001,699.2,21.85,N>d,0.6430150246800148,0.6207643078548746,0.6587337240821902,0.6,0.037969416227315644,True,3.171425348921668,0.8503346070362877,0.11780912877971698,0.07907778559483085,5,1.1420560826118649,6.3173994344474895
resp,n1000,64,0.001,699.2,10.925,N>d,0.6661807880622398,0.6034344874314741,0.6602986332275427,0.6017006802721088,0.056864145796068556,True,4.15169490298035,0.8625918672053127,0.13394731583387043,0.0798814720935093,5,1.141747078366152,6.729404901124572
resp,n1000,128,0.01,699.2,5.4625,N>d,0.684485321115423,0.636940770807238,0.6626456359704855,0.6079931972789117,0.025704865163247527,True,1.8606757134716787,0.881956305288238,0.09517256273138622,0.09334260334987263,5,0.5318713256458435,2.868895504941845
resp,n1000,256,0.01,699.2,2.73125,N>d,0.7047959877188452,0.6310930464978386,0.6622927158299151,0.6063775510204081,0.031199669332076428,True,1.9561016628696488,0.8941665253513993,0.09554312463135989,0.094510884016997,5,0.5260201018122475,2.912283038981235
resp,n1000,384,0.01,699.2,1.8208333333333333,N~d,0.7090849743244692,0.6299623875263726,0.662195706431687,0.6051020408163265,0.032233318905314404,True,1.9872839946900385,0.8961996506450287,0.09520828828812018,0.09436882663218585,5,0.5247474458087215,2.9193771753007485
resp,n300,32,0.01,210.0,6.5625,N>d,0.6666666666666667,0.6301173645976474,0.6701529087582616,0.5850340136054422,0.040035544160614236,True,1.6837306620746566,0.7030816363308705,0.1683186159668408,0.1051343523168676,5,0.518690345339086,2.6652803858239102
resp,n300,64,0.01,210.0,3.28125,N>d,0.7161904761904763,0.6095913417147468,0.6703308263064491,0.5784013605442178,0.06073948459170227,True,1.858157483531811,0.7836727338259146,0.16958010452333755,0.0983521996567296,5,0.5028271303915206,2.847845993758578
resp,n300,128,0.01,210.0,1.640625,N~d,0.781904761904762,0.5874332543100701,0.6702923857396275,0.5790816326530612,0.0828591314295574,True,2.034468429254383,0.8620291944494504,0.16882321138943954,0.09903151677066244,5,0.4800495948019707,3.0080705737189124
resp,n300,256,0.01,210.0,0.8203125,N<d,0.8142857142857144,0.5795054011780298,0.670319813743844,0.5805272108843538,0.09081441256581416,True,2.1286455342299297,0.8903225806451612,0.16579563885384746,0.10147948632233644,5,0.4698728922153169,3.049061699289603
