convention,scale,attack,budget_mult,policy,review_budget,score_auroc,recovered,precision,recall,precision_lift,n_pools_beat_top,delete_minus_no_action,correct_minus_no_action
resp,n1000,margin_targeted,2.0,random,208.8,0.5995261422362262,30.560000000000002,0.14634340659340656,0.29268681318681317,-0.002969611184753764,3,0.002762227447098384,-0.0007667723925908296
resp,n1000,margin_targeted,2.0,top,208.8,0.5995261422362262,28.8,0.13788461538461533,0.27576923076923077,-0.011428402393544961,0,0.005101473799454618,-0.0003210489331931871
resp,n1000,margin_targeted,2.0,two_tailed,208.8,0.5995261422362262,1.4,0.006721611721611701,0.01344322344322342,-0.14259140605654863,0,0.0072233956505963395,0.00012705212046855104
resp,n300,directional,0.5,bottom_oracle_diagnostic,16.0,0.15819066498468184,7.4,0.4625,0.2387096774193548,0.31488095238095226,5,-0.00431379520509088,-0.010509796722802079
resp,n300,directional,0.5,random,16.0,0.15819066498468184,2.1399999999999997,0.13374999999999998,0.0690322580645161,-0.013869047619047633,5,0.00011052501865840691,-0.0016764313339027506
resp,n300,directional,0.5,top,16.0,0.15819066498468184,0.0,0.0,0.0,-0.1476190476190476,0,0.00280833216383996,0.0
resp,n300,directional,0.5,two_tailed,16.0,0.15819066498468184,3.0,0.1875,0.09677419354838705,0.039880952380952364,4,-0.0002705152462956199,-0.007173719809921207
resp,n300,directional,1.0,bottom_oracle_diagnostic,31.0,0.15819066498468184,13.4,0.432258064516129,0.432258064516129,0.2846390168970813,5,-0.00714566676683452,-0.013386118215438239
resp,n300,directional,1.0,random,31.0,0.15819066498468184,4.24,0.13677419354838705,0.13677419354838705,-0.010844854070660503,5,0.0004165917771384875,-0.002508930763530822
resp,n300,directional,1.0,top,31.0,0.15819066498468184,0.0,0.0,0.0,-0.1476190476190476,0,0.00531338718168658,0.0
resp,n300,directional,1.0,two_tailed,31.0,0.15819066498468184,7.4,0.2387096774193548,0.2387096774193548,0.0910906298003072,5,-0.0016757585890488998,-0.010509796722802079
resp,n300,directional,2.0,bottom_oracle_diagnostic,62.0,0.15819066498468184,22.6,0.3645161290322581,0.7290322580645162,0.21689708141321037,5,-0.00850213787252488,-0.01238976274161264
resp,n300,directional,2.0,random,62.0,0.15819066498468184,8.680000000000001,0.13999999999999996,0.27999999999999997,-0.007619047619047595,5,0.0011493645356775782,-0.004837710072567872
resp,n300,directional,2.0,top,62.0,0.15819066498468184,0.0,0.0,0.0,-0.1476190476190476,0,0.00931171793668872,0.0
resp,n300,directional,2.0,two_tailed,62.0,0.15819066498468184,13.4,0.2161290322580645,0.432258064516129,0.06850998463901688,5,-0.00247933008725272,-0.013386118215438239
resp,n300,margin_targeted,0.5,bottom_oracle_diagnostic,16.0,0.5106505676698505,0.6,0.0375,0.019354838709677396,-0.11011904761904759,3,0.00536926881175374,0.00065479622512812
resp,n300,margin_targeted,0.5,random,16.0,0.5106505676698505,1.9400000000000002,0.12125000000000001,0.0625806451612903,-0.026369047619047636,5,0.0003720353320211954,0.00015354237155626137
resp,n300,margin_targeted,0.5,top,16.0,0.5106505676698505,0.0,0.0,0.0,-0.1476190476190476,0,-0.0034062309941754,0.0
resp,n300,margin_targeted,0.5,two_tailed,16.0,0.5106505676698505,0.0,0.0,0.0,-0.1476190476190476,0,-3.0183658302039994e-05,0.0
resp,n300,margin_targeted,1.0,bottom_oracle_diagnostic,31.0,0.5106505676698505,1.6,0.051612903225806396,0.051612903225806396,-0.09600614439324114,4,0.011067887842842761,0.0008708722821409868
