convention,scale,pool,dim,lam,attack,alpha,budget,arm,rep,n_train,n_kept,n_deleted,n_test,remaining_poisoned,test_logloss,test_acc,kl_from_clean,mean_abs_pred_div,theta_dist_from_clean,rank_agree_with_clean,uninf_loss,loc_auroc,loc_auprc,loc_prec_at_b,loc_recall_at_b,loc_prec_lift,loc_n_tied_at_cut,loc_n_hits_at_b
cat,n300,1,384,0.001,margin_targeted,1.0,27,none,-1,181,181,0,2058,27,0.6575336884782619,0.6098153547133139,0.004175985150887487,0.031942921138773527,6.007390669518735,0.9143899692065799,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,detector,-1,181,154,27,2058,23,0.6523658591830543,0.608357628765792,0.015307608434473331,0.059118058211269635,8.059364912543703,0.8954834020653187,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,margin_matched,-1,181,154,27,2058,27,0.6572952415455072,0.6073858114674441,0.010453827347428876,0.0498272831768844,8.183404545621373,0.8481843614839106,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,oracle_delete,-1,181,154,27,2058,0,0.6592166589669783,0.6044703595724004,0.0020502749594372223,0.0223921963082176,3.9931054068485596,0.9648558484675209,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,oracle_correct,-1,181,181,0,2058,0,0.6626043006274543,0.5913508260447036,0.0,0.0,0.0,1.0,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,matched_clean,-1,181,154,27,2058,0,0.6542703606877361,0.6005830903790087,0.005350337984918065,0.03484499120575328,4.535540007501514,0.9614635156419885,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,0,181,154,27,2058,25,0.6583037111795157,0.6000971817298348,0.0069294922218230024,0.04071990842945811,7.477508299180235,0.8752958586731648,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,1,181,154,27,2058,25,0.6551320987785483,0.6068999028182702,0.007109007555782501,0.04191486460899143,7.4835302613341605,0.8784522053788612,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,2,181,154,27,2058,24,0.6601970283525114,0.597181729834791,0.006203698698588823,0.03903554763174927,7.539966957443814,0.8690423159842348,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,3,181,154,27,2058,22,0.659255599309671,0.6054421768707483,0.00507587922633606,0.03559460421784935,6.83672009753582,0.8813539733775725,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,4,181,154,27,2058,25,0.6626596276423633,0.6000971817298348,0.0055056513917216094,0.03696022987595626,7.412283940480128,0.8658870458726255,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,5,181,154,27,2058,24,0.6566706206449977,0.6122448979591837,0.0054435025692026,0.036541082506326296,7.131574513951588,0.8807205368057269,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,6,181,154,27,2058,25,0.6594854324977591,0.5957240038872692,0.005822515138083685,0.037707629743445895,7.246598234379998,0.8867368708485428,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,7,181,154,27,2058,20,0.6581453869302426,0.5991253644314869,0.005155515150347695,0.03542723387543905,7.066703714042979,0.8929155682208971,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,8,181,154,27,2058,21,0.6579633784125691,0.6010689990281827,0.005517098844243958,0.03651227242559645,6.928593327691679,0.8930185151212483,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,1,384,0.001,margin_targeted,1.0,27,random,9,181,154,27,2058,23,0.6631319233777024,0.5898931000971818,0.004732344034306277,0.034236030469408596,7.0199491581607445,0.8928139360869829,0.6931471805599453,0.5952380952380952,0.18168980166940757,0.14814814814814814,0.14814814814814814,-0.001023122570083912,1,4
cat,n300,2,384,0.01,margin_targeted,1.0,28,none,-1,190,190,0,2058,28,0.6734349795645891,0.608357628765792,0.00023812704049623812,0.007690715067966785,1.0690553317512699,0.956942289935958,0.6931471805599453,0.6227954144620811,0.18047234523015923,0.0,0.0,-0.14736842105263157,1,0
cat,n300,2,384,0.01,margin_targeted,1.0,28,detector,-1,190,162,28,2058,28,0.6654673471758399,0.60932944606414,0.0016517664895511588,0.019758577808382864,1.7237993353671257,0.9384010227329939,0.6931471805599453,0.6227954144620811,0.18047234523015923,0.0,0.0,-0.14736842105263157,1,0
