convention,scale,pool,dim,lam,n_train,n_dev,n_test,n_zero_train,n_zero_test,budget,prevalence,n_over_d,clean_train_logloss,clean_dev_logloss,clean_test_logloss,clean_train_acc,clean_dev_acc,clean_test_acc,clean_theta_norm,clean_hessian_cond,clean_grad_norm,pois_test_logloss,pois_test_acc,pois_theta_norm,pois_grad_norm,theta_dist,theta_cos,uninf_loss,clean_beats_uninf_test,fm_cleanhead_auroc,fm_cleanhead_auprc,fm_cleanhead_prec_at_b,fm_cleanhead_recall_at_b,fm_cleanhead_prec_lift,fm_cleanhead_n_tied_at_cut,fm_cleanhead_n_hits_at_b,si_cleanhead_auroc,si_cleanhead_auprc,si_cleanhead_prec_at_b,si_cleanhead_recall_at_b,si_cleanhead_prec_lift,si_cleanhead_n_tied_at_cut,si_cleanhead_n_hits_at_b,fm_refit_auroc,fm_refit_auprc,fm_refit_prec_at_b,fm_refit_recall_at_b,fm_refit_prec_lift,fm_refit_n_tied_at_cut,fm_refit_n_hits_at_b,si_refit_auroc,si_refit_auprc,si_refit_prec_at_b,si_refit_recall_at_b,si_refit_prec_lift,si_refit_n_tied_at_cut,si_refit_n_hits_at_b,refit_marg_mean_reversed,refit_marg_mean_retained,refit_marg_excess_reversed,refit_frac_reversed_positive,cleanhead_marg_mean_reversed,cleanhead_marg_mean_retained,cleanhead_marg_excess_reversed,cleanhead_frac_reversed_positive,inverted_separation_fm_refit
cat,n300,0,64,0.01,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.6676044394450599,0.6763167537685075,0.6829044383262163,0.726775956284153,0.6708860759493671,0.5947521865889213,1.552504622078617,1.2460151344400894,3.22736498833865e-11,0.6693225995805495,0.608357628765792,2.2756163978983874,2.1197535456797053e-10,1.895207886581303,0.5656658876987396,0.6931471805599453,True,0.7200854700854701,0.48013748091909086,0.4444444444444444,0.4444444444444444,0.29690346083788705,1,12,0.7226970560303894,0.44104497074716525,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.15645773979107314,0.09030294875806161,0.0,0.0,-0.14754098360655737,1,0,0.6837606837606838,0.3097191522225946,0.2962962962962963,0.2962962962962963,0.1487553126897389,1,8,0.2698509655007153,0.10285962986407085,0.16699133563664445,1.0,-0.021183300488156153,0.05965984872078682,-0.08084314920894298,0.4444444444444444,0.8435422602089269
cat,n300,0,64,0.1,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.6901677039964115,0.691080360284174,0.6918303501429186,0.7158469945355191,0.6835443037974683,0.5932944606413995,0.1720480936518689,1.0253914011850431,6.558496886222459e-11,0.6897303149400983,0.6112730806608357,0.2739719011169671,1.1416312045254607e-11,0.22242525256582765,0.5854098163606559,0.6931471805599453,True,0.6925451092117759,0.4306923522546838,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.7122507122507122,0.3098353028008385,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.150997150997151,0.0900816229886143,0.0,0.0,-0.14754098360655737,1,0,0.7084520417853751,0.30415684758341643,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.0330169885119349,0.012327181017480484,0.02068980749445442,1.0,-0.0012226363635621993,0.006824271049298289,-0.008046907412860488,0.5185185185185185,0.849002849002849
cat,n300,0,64,1.0,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.6928439366914139,0.6929355541955075,0.6930116787723475,0.7158469945355191,0.6835443037974683,0.5947521865889213,0.017408131592225654,1.0025439752615135,7.216125270483506e-12,0.6927909421841093,0.6107871720116618,0.027999990963077807,2.1851069524116096e-12,0.02266473120559157,0.5881412792363906,0.6931471805599453,True,0.6899335232668566,0.42444738577707497,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.7113010446343779,0.3003940384078427,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.15004748338081672,0.0900050864712876,0.0,0.0,-0.14754098360655737,1,0,0.7110636277302944,0.30029924322120777,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.0033796171162286037,0.0012589726021289664,0.0021206445140996375,1.0,-0.0001094572982618007,0.0006929833981701991,-0.0008024406964319997,0.5185185185185185,0.8499525166191833
cat,n300,0,128,1e-06,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.05665837148023253,2.0030333033534977,2.418392019504288,0.9890710382513661,0.6962025316455697,0.5568513119533528,294.364807038069,146.89140675384093,6.812833472176382e-10,2.2836530561994652,0.5830903790087464,265.2474023741064,1.4525850693032687e-09,234.43039220297482,0.6534955702524328,0.6931471805599453,False,1.0,1.0,1.0,1.0,0.8524590163934427,1,27,1.0,1.0,1.0,1.0,0.8524590163934427,1,27,0.38698955365622034,0.11712553942314861,0.0,0.0,-0.14754098360655737,1,0,0.3986229819563153,0.11961690543878171,0.0,0.0,-0.14754098360655737,1,0,9.54096546953577,6.244856487825239,3.296108981710531,1.0,-8.904718006323725,5.791372539539397,-14.696090545863122,0.0,0.6130104463437797
cat,n300,0,128,1e-05,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.16142501473115073,0.9823830614988996,1.1956176235503613,0.9672131147540983,0.6708860759493671,0.5558794946550049,120.88664792053937,44.17762420499635,6.986080579629462e-10,1.1595849840814325,0.5894071914480078,108.89459196712036,2.1378752344536998e-09,87.3757559980077,0.7154827946658402,0.6931471805599453,False,0.9957264957264957,0.9835732742709486,0.9259259259259259,0.9259259259259259,0.7783849423193685,1,25,0.9988129154795822,0.9942129629629629,0.9629629629629629,0.9629629629629629,0.8154219793564055,1,26,0.2932098765432099,0.10184984727216512,0.0,0.0,-0.14754098360655737,1,0,0.32336182336182334,0.10591995677691417,0.0,0.0,-0.14754098360655737,1,0,4.5502110947676515,3.327189814368611,1.2230212803990406,1.0,-3.8270444077394012,2.7819477872363167,-6.608992194975718,0.037037037037037035,0.7067901234567902
cat,n300,0,128,0.0001,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.3373251790249634,0.6411839980108971,0.7471431064513246,0.8961748633879781,0.6455696202531646,0.5602526724975705,42.23460084577492,11.549626038821254,9.085842043628283e-10,0.7599389434847671,0.5962099125364432,40.64205124813622,6.000225496976459e-10,32.24085671458823,0.6979504407427987,0.6931471805599453,False,0.9667616334283001,0.9325298808780145,0.8888888888888888,0.8888888888888888,0.7413479052823315,1,24,0.9617758784425451,0.9420966797237723,0.8888888888888888,0.8888888888888888,0.7413479052823315,1,24,0.2053656220322887,0.09366142729810448,0.0,0.0,-0.14754098360655737,1,0,0.2849002849002849,0.10101229605883164,0.0,0.0,-0.14754098360655737,1,0,2.6163632116763966,1.570145668200338,1.0462175434760586,1.0,-1.3696579882151252,1.2042407567149718,-2.573898744930097,0.1111111111111111,0.7946343779677113
cat,n300,0,128,0.001,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.5473190916224439,0.625554980494291,0.6653359008108983,0.825136612021858,0.6582278481012658,0.5884353741496599,10.593494768222579,3.0623804996129906,2.954556490718172e-10,0.6479950090485035,0.6107871720116618,11.782897608784639,1.0895449540670937e-09,10.195680256479598,0.5892664592015416,0.6931471805599453,True,0.8810541310541311,0.7414216597367255,0.6296296296296297,0.6296296296296297,0.4820886460230723,1,17,0.8537511870845205,0.6722655040907712,0.5555555555555556,0.5555555555555556,0.4080145719489982,1,15,0.1664292497625831,0.0909473144000217,0.0,0.0,-0.14754098360655737,1,0,0.4748338081671415,0.1351709890736096,0.07407407407407407,0.07407407407407407,-0.0734669095324833,1,2,1.1800051755293384,0.5367147746713423,0.643290400857996,1.0,-0.33845932513658544,0.3703299551926329,-0.7087892803292184,0.2222222222222222,0.8335707502374169
cat,n300,0,128,0.01,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.6646067127043511,0.6756170700152019,0.6829268494971588,0.7759562841530054,0.6582278481012658,0.5986394557823129,1.6457345733048423,1.2645759356258979,7.828644666371314e-11,0.6688639596065681,0.60932944606414,2.339443222387686,3.8210069368250984e-10,1.9390277836264784,0.5742195206029852,0.6931471805599453,True,0.7730294396961064,0.5513126069485078,0.48148148148148145,0.48148148148148145,0.3339404978749241,1,13,0.7279202279202279,0.44781165984292787,0.4444444444444444,0.4444444444444444,0.29690346083788705,1,12,0.14838556505223172,0.08993096222208556,0.0,0.0,-0.14754098360655737,1,0,0.6745014245014245,0.2975473200784245,0.2962962962962963,0.2962962962962963,0.1487553126897389,1,8,0.27553411924533333,0.10888024818582058,0.16665387105951274,1.0,-0.02704536352615941,0.06571584260580658,-0.09276120613196599,0.4444444444444444,0.8516144349477683
cat,n300,0,128,0.1,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.6898635870592853,0.691005214116379,0.6918326457316528,0.7650273224043715,0.6835443037974683,0.598153547133139,0.18066567373367692,1.0269309326012312,9.288068503172886e-11,0.689672949462837,0.607871720116618,0.2794304681840302,1.6956145371882202e-11,0.22626866941954488,0.5895388470399118,0.6931471805599453,True,0.7457264957264957,0.49368048588261537,0.48148148148148145,0.48148148148148145,0.3339404978749241,1,13,0.7082146248812915,0.3090628992419059,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.14767331433998102,0.08994604046220019,0.0,0.0,-0.14754098360655737,1,0,0.7051282051282052,0.30526249530761135,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.03359584195368243,0.012936556584737179,0.020659285368945256,1.0,-0.0018139842198011925,0.007435809971926126,-0.009249794191727318,0.5185185185185185,0.852326685660019
cat,n300,0,128,1.0,183,79,2058,38,296,27,0.14754098360655737,1.4296875,0.6928134809526084,0.6929279869929339,0.6930119123254606,0.7650273224043715,0.6835443037974683,0.598153547133139,0.01826190434992813,1.0026945573305386,9.118341028727482e-12,0.6927850659333827,0.607871720116618,0.028535448013460862,3.095960573149153e-12,0.023042817035791422,0.5918094133661769,0.6931471805599453,True,0.7412155745489079,0.4891064868255239,0.48148148148148145,0.48148148148148145,0.3339404978749241,1,13,0.7070275403608737,0.30024652877524993,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.14743589743589744,0.08993299159418948,0.0,0.0,-0.14754098360655737,1,0,0.7067901234567902,0.3001668982608368,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.0034375734833631097,0.0013199735457872274,0.0021175999375758823,1.0,-0.00016864383682528786,0.0007541972561898044,-0.0009228410930150922,0.5185185185185185,0.8525641025641025
