seed,stage,mean_signed_margin_flipped,mean_signed_margin_unflipped,median_signed_margin_flipped,median_signed_margin_unflipped,mean_disagreement_flipped,mean_disagreement_unflipped
10,stage0_pre_attack,3.0639886952614894,1.3272799749225515,2.79986529960968,1.1774171366337571,0.00550183278622813,0.08298503003912253
10,stage1_flipped_clean_models,-3.0639886952614894,1.3272799749225515,-2.79986529960968,1.1774171366337571,0.8835706457520082,0.08298503003912253
10,stage2_poisoned_refit,2.105927551995408,1.1738029126043348,1.9011673674602894,1.148521620858125,0.024721626740499297,0.08877624727209475
11,stage0_pre_attack,2.412677108446308,1.327222970861425,2.3831565095663216,1.2244135956808142,0.015508997729108128,0.07654172215370807
11,stage1_flipped_clean_models,-2.412677108446308,1.327222970861425,-2.3831565095663216,1.2244135956808142,0.8091860020622714,0.07654172215370807
11,stage2_poisoned_refit,2.5566356068334675,1.346421569113243,2.65375645240477,1.245837447731979,0.017249452784581395,0.07802557342764248
12,stage0_pre_attack,2.515600803898268,1.2019272698390744,2.290085508200717,1.0420155348964273,0.015227060811881733,0.08740540719311352
12,stage1_flipped_clean_models,-2.515600803898268,1.2019272698390744,-2.290085508200717,1.0420155348964273,0.8147141369497596,0.08740540719311352
12,stage2_poisoned_refit,2.21693606302398,1.1782547429790018,1.967517169917352,1.1102486757354786,0.01921353990808998,0.09175426247333276
13,stage0_pre_attack,2.4395834839158246,1.1910048595252745,2.175459210354723,1.1154162219841282,0.016795474940406077,0.08612129226371264
13,stage1_flipped_clean_models,-2.4395834839158246,1.1910048595252745,-2.175459210354723,1.1154162219841282,0.7965022814193147,0.08612129226371264
13,stage2_poisoned_refit,2.5187959707829872,1.2509294929606931,2.183568898759928,1.0362366603947732,0.01601744402549648,0.08931130081536043
14,stage0_pre_attack,1.2643105173206595,1.5370779804103836,1.1558738012983523,1.3330012245536984,0.08509184308883416,0.07173629339535399
14,stage1_flipped_clean_models,-1.2643105173206595,1.5370779804103836,-1.1558738012983523,1.3330012245536984,0.5807481558509711,0.07173629339535399
14,stage2_poisoned_refit,3.027850567449514,2.0523332067168747,2.4887303661228595,1.6166599750020714,0.010127378204465857,0.05956599025107172
15,stage0_pre_attack,2.6088502304813677,1.2563177701232402,2.601616882153424,1.1421821619487695,0.013244865083562842,0.08349906880800909
15,stage1_flipped_clean_models,-2.6088502304813677,1.2563177701232402,-2.601616882153424,1.1421821619487695,0.8340273861845816,0.08349906880800909
15,stage2_poisoned_refit,2.318705457554554,1.2238939368774806,2.2401091493794727,1.1117467201402698,0.017020863140208845,0.08411873743245919
16,stage0_pre_attack,2.30939795890136,1.2069596274746237,2.244713387131772,1.0396268802913171,0.017118954263662323,0.08766143965873371
16,stage1_flipped_clean_models,-2.30939795890136,1.2069596274746237,-2.244713387131772,1.0396268802913171,0.795840983779548,0.08766143965873371
16,stage2_poisoned_refit,2.4983378973427866,1.2189358379493027,2.675070065662311,1.1064813038189434,0.015939784799612663,0.08868288973500525
17,stage0_pre_attack,2.2979593209116667,1.3111745968842388,2.3925211480369595,1.2806549715058064,0.014601429756733586,0.07763044032579797
17,stage1_flipped_clean_models,-2.2979593209116667,1.3111745968842388,-2.3925211480369595,1.2806549715058064,0.8027373891316185,0.07763044032579797
17,stage2_poisoned_refit,2.3149077340997417,1.3106532005652969,2.0902517232463,1.1494431545528505,0.022794891392170162,0.07860893268951741
18,stage0_pre_attack,1.3272905892953455,1.5009605408181705,1.1459479008112483,1.373786107694318,0.07716218987624607,0.06605999380801217
18,stage1_flipped_clean_models,-1.3272905892953455,1.5009605408181705,-1.1459479008112483,1.373786107694318,0.5982342129690084,0.06605999380801217
18,stage2_poisoned_refit,3.118622745612854,1.9925243325985955,2.7121875243409552,1.6906917203654779,0.010514578671258509,0.058776845197384846
19,stage0_pre_attack,2.6707532119717925,1.3474116934120965,2.6484971708899607,1.246229171587927,0.011536204882850969,0.07818161629929503
19,stage1_flipped_clean_models,-2.6707532119717925,1.3474116934120965,-2.6484971708899607,1.246229171587927,0.8411631468490948,0.07818161629929503
19,stage2_poisoned_refit,2.3182993881860043,1.3208741332151566,2.1490279007479893,1.1849645184242825,0.015178478929905613,0.08150330136220531
