seed,attack,detector,auroc,precision_at_budget
10,random_flip,ensemble,0.6487455197132617,0.2222222222222222
10,gradient_flip,self_influence,0.33548387096774196,0.0
10,gradient_flip,cross_fit,0.2743130227001195,0.037037037037037035
10,gradient_flip,training_dynamics,0.21959378733572282,0.0
10,gradient_flip,ensemble,0.26559139784946234,0.0
10,ambiguity_flip,self_influence,0.4860215053763441,0.037037037037037035
10,ambiguity_flip,cross_fit,0.6210274790919952,0.0
10,ambiguity_flip,training_dynamics,0.8583034647550777,0.5925925925925926
10,ambiguity_flip,ensemble,0.6566308243727599,0.1111111111111111
11,random_flip,self_influence,0.5824898785425101,0.3076923076923077
11,random_flip,cross_fit,0.5812246963562753,0.3076923076923077
11,random_flip,training_dynamics,0.5270748987854251,0.23076923076923078
11,random_flip,ensemble,0.5679402834008097,0.3076923076923077
11,gradient_flip,self_influence,0.23836032388663966,0.0
11,gradient_flip,cross_fit,0.19989878542510123,0.0
11,gradient_flip,training_dynamics,0.1958502024291498,0.0
11,gradient_flip,ensemble,0.19648279352226722,0.0
11,ambiguity_flip,self_influence,0.5328947368421053,0.11538461538461539
11,ambiguity_flip,cross_fit,0.5984311740890689,0.038461538461538464
11,ambiguity_flip,training_dynamics,0.8150303643724697,0.5384615384615384
11,ambiguity_flip,ensemble,0.6614372469635628,0.19230769230769232
12,random_flip,self_influence,0.625756475429678,0.3333333333333333
12,random_flip,cross_fit,0.6090534979423868,0.25925925925925924
12,random_flip,training_dynamics,0.6049382716049383,0.18518518518518517
12,random_flip,ensemble,0.6316872427983539,0.2962962962962963
12,gradient_flip,self_influence,0.2384410554345195,0.0
12,gradient_flip,cross_fit,0.16412490922294845,0.0
12,gradient_flip,training_dynamics,0.17453401113531833,0.0
12,gradient_flip,ensemble,0.15843621399176955,0.0
12,ambiguity_flip,self_influence,0.4439603001694505,0.07407407407407407
12,ambiguity_flip,cross_fit,0.5570079883805374,0.037037037037037035
12,ambiguity_flip,training_dynamics,0.7877027354151537,0.5555555555555556
12,ambiguity_flip,ensemble,0.5959816025175503,0.14814814814814814
13,random_flip,self_influence,0.6665817626082526,0.2692307692307692
13,random_flip,cross_fit,0.6128374936321956,0.15384615384615385
13,random_flip,training_dynamics,0.5287824758023434,0.11538461538461539
13,random_flip,ensemble,0.6166581762608253,0.23076923076923078
13,gradient_flip,self_influence,0.23229750382068262,0.0
13,gradient_flip,cross_fit,0.20555272542027508,0.0
13,gradient_flip,training_dynamics,0.17116658176260827,0.0
13,gradient_flip,ensemble,0.1762608252674478,0.0
13,ambiguity_flip,self_influence,0.4276617422312787,0.0
13,ambiguity_flip,cross_fit,0.5797249108507386,0.0
13,ambiguity_flip,training_dynamics,0.8031074885379521,0.5
13,ambiguity_flip,ensemble,0.6020122261844116,0.07692307692307693
14,random_flip,self_influence,0.6503267973856209,0.2692307692307692
14,random_flip,cross_fit,0.6503267973856209,0.23076923076923078
14,random_flip,training_dynamics,0.6216691804927099,0.15384615384615385
14,random_flip,ensemble,0.6491955756661639,0.23076923076923078
14,gradient_flip,self_influence,0.32805429864253394,0.0
14,gradient_flip,cross_fit,0.3129713423831071,0.038461538461538464
14,gradient_flip,training_dynamics,0.28833584715937655,0.0
14,gradient_flip,ensemble,0.2998994469582705,0.0
14,ambiguity_flip,self_influence,0.43790849673202614,0.07692307692307693
14,ambiguity_flip,cross_fit,0.599798893916541,0.038461538461538464
14,ambiguity_flip,training_dynamics,0.8049270990447461,0.5384615384615384
14,ambiguity_flip,ensemble,0.621543489190548,0.15384615384615385
15,random_flip,self_influence,0.5923520923520924,0.14814814814814814
15,random_flip,cross_fit,0.5435305435305435,0.2222222222222222
15,random_flip,training_dynamics,0.5654160654160654,0.07407407407407407
15,random_flip,ensemble,0.5661375661375662,0.14814814814814814
15,gradient_flip,self_influence,0.2623857623857624,0.0
15,gradient_flip,cross_fit,0.23713323713323714,0.037037037037037035
15,gradient_flip,training_dynamics,0.1632996632996633,0.0
15,gradient_flip,ensemble,0.1984126984126984,0.0
15,ambiguity_flip,self_influence,0.4894179894179894,0.1111111111111111
15,ambiguity_flip,cross_fit,0.5998075998075998,0.037037037037037035
15,ambiguity_flip,training_dynamics,0.8172198172198172,0.5925925925925926
15,ambiguity_flip,ensemble,0.6525974025974026,0.18518518518518517
16,random_flip,self_influence,0.5275403608736942,0.14814814814814814
16,random_flip,cross_fit,0.5035612535612536,0.14814814814814814
16,random_flip,training_dynamics,0.48836657169990505,0.07407407407407407
16,random_flip,ensemble,0.5037986704653371,0.1111111111111111
16,gradient_flip,self_influence,0.22507122507122507,0.0
16,gradient_flip,cross_fit,0.25332383665717,0.037037037037037035
16,gradient_flip,training_dynamics,0.16690408357075023,0.0
