source_row_id,filtered_local_index,selected_rank,flip_flag,gradient_flip_objective,z_norm,s_clean,s_attacked,s_changed,z_changed,effective_invariant_abs_err,clean_margin,clean_head_margin_after_relabel,poisoned_head_margin,clean_oof_margin_after_relabel,poisoned_oof_margin,clean_oof_margin_pre_attack,stage0_self_influence,stage0_cross_fit,stage0_training_dynamics,stage0_ensemble,stage1_self_influence,stage1_cross_fit,stage1_training_dynamics,stage1_ensemble,stage2_self_influence,stage2_cross_fit,stage2_training_dynamics,stage2_ensemble,stage0_si_disagreement,stage0_si_leverage,stage0_si_product,stage1_si_disagreement,stage1_si_leverage,stage1_si_product,stage2_si_disagreement,stage2_si_leverage,stage2_si_product
226,10,-1,False,0.0285439523508587,0.40924913549033454,1.0,1.0,False,False,0.0,1.0395435299200015,1.0395435299200015,0.7571170944294734,-0.28238188197448366,-0.7739125712262976,-0.28238188197448366,34.44822685112706,0.5701300770466327,-1.0395435299200015,126.66666666666667,34.44822685112706,0.5701300770466327,-1.0395435299200015,120.33333333333333,49.44965662847295,0.6843666530963446,-0.7571170944294734,158.66666666666666,0.06824533429991984,504.7704316274046,34.44822685112706,0.06824533429991984,504.7704316274046,34.44822685112706,0.10193493129433834,485.11002068257125,49.44965662847295
216,11,-1,False,0.0016161747108523528,0.07807311140179427,1.0,1.0,False,False,0.0,0.2988972375829031,0.2988972375829031,0.2105452167340608,0.09993141536627062,0.08485390501861106,0.09993141536627062,7.815631729564053,0.4750379159147322,-0.2988972375829031,98.0,7.815631729564053,0.4750379159147322,-0.2988972375829031,93.66666666666667,9.138082700334683,0.4787992430004685,-0.2105452167340608,126.66666666666667,0.18132870609130228,43.102010145204154,7.815631729564053,0.18132870609130228,43.102010145204154,7.815631729564053,0.20030752055228396,45.62026765215475,9.138082700334683
232,12,-1,False,-0.0440409584864339,0.4175639071081164,1.0,1.0,False,False,0.0,2.1135958840063513,2.1135958840063513,2.4551463468677004,1.0277927222256786,1.3105421963911825,1.0277927222256786,8.911411550687689,0.26351225472607265,-2.1135958840063513,40.333333333333336,8.911411550687689,0.26351225472607265,-2.1135958840063513,41.666666666666664,5.503305775848911,0.21239612919045658,-2.4551463468677004,64.33333333333333,0.011617041296414039,767.0982071345887,8.911411550687689,0.011617041296414039,767.0982071345887,8.911411550687689,0.006250961194232451,880.3935274668836,5.503305775848911
45,13,-1,False,-0.02883944830446894,0.3032283326765394,1.0,1.0,False,False,0.0,1.3383852235075302,1.3383852235075302,1.3823663287339767,0.2725229057372797,0.6039284589626039,0.2725229057372797,17.51011283037262,0.4322878305049844,-1.3383852235075302,91.0,17.51011283037262,0.4322878305049844,-1.3383852235075302,87.66666666666667,16.999926595883203,0.3534454394149694,-1.3823663287339767,110.66666666666667,0.043170755383724474,405.601261194841,17.51011283037262,0.043170755383724474,405.601261194841,17.51011283037262,0.04025208626860567,422.3365338740758,16.999926595883203
264,14,0,True,0.4749839174203375,0.8337256948496042,1.0,-1.0,True,False,0.0,2.1263558026501483,-2.1263558026501483,7.194547572506461,2.070835441913992,7.511083919862123,-2.070835441913992,14.811430124544867,0.8880360547110213,-2.1263558026501483,93.33333333333333,1041.1808635319283,0.1119639452889788,2.1263558026501483,125.0,0.002677703674180585,0.0005466888440815998,-7.194547572506461,2.0,0.011355341429870776,1304.3579725029388,14.811430124544867,0.7982324526556167,1304.3579725029388,1041.1808635319283,5.626568388808082e-07,4759.03515099338,0.002677703674180585
292,15,-1,False,-0.002345238281104129,0.321343277037142,1.0,1.0,False,False,0.0,0.12843797824423814,0.12843797824423814,0.8071543408073869,-0.51491972061904,-0.019769006115663623,-0.51491972061904,72.37357669149849,0.6259590617988274,-0.12843797824423814,157.66666666666666,72.37357669149849,0.6259590617988274,-0.12843797824423814,145.0,35.85867681735088,0.5049420905769456,-0.8071543408073869,146.33333333333334,0.21896276501780923,330.5291504042343,72.37357669149849,0.21896276501780923,330.5291504042343,72.37357669149849,0.09517053456024242,376.7833918664452,35.85867681735088
192,16,-1,False,0.026880341904706555,0.34123035192264917,1.0,1.0,False,False,0.0,1.506729442670148,1.506729442670148,0.5252699631758222,0.5680032493905105,-0.8696399302285892,0.5680032493905105,14.837193991043979,0.36169769217560055,-1.506729442670148,72.66666666666667,14.837193991043979,0.36169769217560055,-1.506729442670148,71.66666666666667,53.26882617219278,0.704670769445289,-0.5252699631758222,164.66666666666666,0.032914666126026934,450.777593618415,14.837193991043979,0.032914666126026934,450.777593618415,14.837193991043979,0.13810199524648106,385.7209019834933,53.26882617219278
186,17,-1,False,-0.22078819448681977,0.46507980939860855,1.0,1.0,False,False,0.0,2.439720911019446,2.439720911019446,5.615572665148054,0.7274790632033251,5.0653628239110935,0.7274790632033251,5.128213359469091,0.3257481732408498,-2.439720911019446,37.666666666666664,5.128213359469091,0.3257481732408498,-2.439720911019446,40.0,0.01797425096597134,0.006272033783608411,-5.615572665148054,10.0,0.006430996810601109,797.4212257445907,5.128213359469091,0.006430996810601109,797.4212257445907,5.128213359469091,1.3158882450104532e-05,1365.9405374373987,0.01797425096597134
72,18,-1,False,-0.09385784539145064,0.34428484566915896,1.0,1.0,False,False,0.0,1.6463604356623587,1.6463604356623587,2.9647161853880015,1.3525922020149488,3.0781205811346437,1.3525922020149488,11.622926510137184,0.2054469016045385,-1.6463604356623587,49.666666666666664,11.622926510137184,0.2054469016045385,-1.6463604356623587,49.0,1.5226990924657322,0.04401883581363086,-2.9647161853880015,36.333333333333336,0.026115029938238627,445.06655889827067,11.622926510137184,0.026115029938238627,445.06655889827067,11.622926510137184,0.0024054683579790843,633.0156401412835,1.5226990924657322
144,19,-1,False,-0.032699497272586656,0.22615281533325018,1.0,1.0,False,False,0.0,0.6103090405200893,0.6103090405200893,1.414768525813572,0.5589998986325301,1.14622412288224,0.5589998986325301,31.052636999139626,0.3637788954410641,-0.6103090405200893,118.0,31.052636999139626,0.3637788954410641,-0.6103090405200893,110.0,11.26962132062559,0.24117943807285624,-1.414768525813572,95.0,0.123896048322451,250.6346039247535,31.052636999139626,0.123896048322451,250.6346039247535,31.052636999139626,0.038213612660245914,294.9111726447553,11.26962132062559
98,20,-1,False,0.005664123585340935,0.035255037528302724,1.0,1.0,False,False,0.0,-0.0394198583292737,-0.0394198583292737,-0.13562207507427482,-0.024080594950703235,-0.14448470640918493,-0.024080594950703235,2.299955428803243,0.5060198578433714,0.0394198583292737,98.66666666666667,2.299955428803243,0.5060198578433714,0.0394198583292737,93.66666666666667,2.7001821499642213,0.5360584692095915,0.13562207507427482,121.33333333333333,0.2599507838035835,8.847657218610538,2.299955428803243,0.2599507838035835,8.847657218610538,2.299955428803243,0.28499971376255495,9.474332848677367,2.7001821499642213
249,21,-1,False,0.027851205504664214,0.29352833175208387,1.0,1.0,False,False,0.0,1.0485128699341675,1.0485128699341675,0.5721049656138903,0.3257480903176447,-0.5195493064478651,0.3257480903176447,23.891584118080246,0.4192755364929368,-1.0485128699341675,102.33333333333333,23.891584118080246,0.4192755364929368,-1.0485128699341675,97.66666666666667,44.388025057062784,0.6270423730492825,-0.5721049656138903,159.33333333333334,0.06734584122272468,354.75960629946735,23.891584118080246,0.06734584122272468,354.75960629946735,23.891584118080246,0.13014146944924965,341.0751795327812,44.388025057062784
37,22,-1,False,-0.008212589320522878,0.2502334571798031,1.0,1.0,False,False,0.0,0.5911381637550465,0.5911381637550465,1.089994907831489,-0.7240617045468354,0.24279205798928935,-0.7240617045468354,37.220074458225206,0.6735008042563577,-0.5911381637550465,148.33333333333334,37.220074458225206,0.6735008042563577,-0.5911381637550465,139.66666666666666,20.68855467190333,0.43959840707585274,-1.089994907831489,126.0,0.12700224920655367,293.0662621391161,37.220074458225206,0.12700224920655367,293.0662621391161,37.220074458225206,0.06331224057071864,326.7702182928526,20.68855467190333
28,23,-1,False,-0.014020709495744752,0.22909088354706633,1.0,1.0,False,False,0.0,0.6674413229356371,0.6674413229356371,0.5484374520539034,0.01670120503471087,-0.08433809454253469,0.01670120503471087,27.836188918813455,0.4958247957901005,-0.6674413229356371,124.0,27.836188918813455,0.4958247957901005,-0.6674413229356371,117.33333333333333,34.005498747302624,0.5210720348181322,-0.5484374520539034,151.66666666666666,0.1149684702824059,242.1201991331822,27.836188918813455,0.1149684702824059,242.1201991331822,27.836188918813455,0.1341222213740846,253.54112390113784,34.005498747302624
121,24,-1,False,0.026392654029775264,0.3501532561947061,1.0,1.0,False,False,0.0,1.1762026059534951,1.1762026059534951,0.922777688472145,-0.6657435726667348,-0.41796755819116693,-0.6657435726667348,25.386826574269246,0.6605494197290162,-1.1762026059534951,121.0,25.386826574269246,0.6605494197290162,-1.1762026059534951,116.33333333333333,35.9369085595906,0.6029968022468115,-0.922777688472145,151.0,0.055571303571766234,456.83338238564147,25.386826574269246,0.055571303571766234,456.83338238564147,25.386826574269246,0.08087895718136083,444.3295241679072,35.9369085595906
