seed,alpha,detector,auroc
9,0.5,cross_fit,0.6182522391672719
9,0.5,training_dynamics,0.6088114258048899
9,0.75,self_influence,0.7267005567659163
9,0.75,cross_fit,0.6134107964173323
9,0.75,training_dynamics,0.6937787460663277
9,1.0,self_influence,0.44517066085693535
9,1.0,cross_fit,0.6211571048172355
9,1.0,training_dynamics,0.8564512224642944
10,0.0,self_influence,0.5232974910394266
10,0.0,cross_fit,0.5682198327359618
10,0.0,training_dynamics,0.27646356033452807
10,0.25,self_influence,0.633452807646356
10,0.25,cross_fit,0.5835125448028674
10,0.25,training_dynamics,0.4547192353643967
10,0.5,self_influence,0.6590203106332139
10,0.5,cross_fit,0.5572281959378733
10,0.5,training_dynamics,0.5407407407407407
10,0.75,self_influence,0.7290322580645161
10,0.75,cross_fit,0.608363201911589
10,0.75,training_dynamics,0.6888888888888889
10,1.0,self_influence,0.4860215053763441
10,1.0,cross_fit,0.6210274790919952
10,1.0,training_dynamics,0.8583034647550777
11,0.0,self_influence,0.5528846153846154
11,0.0,cross_fit,0.6108299595141701
11,0.0,training_dynamics,0.33856275303643724
11,0.25,self_influence,0.632085020242915
11,0.25,cross_fit,0.6573886639676113
11,0.25,training_dynamics,0.45167004048583
11,0.5,self_influence,0.5700910931174089
11,0.5,cross_fit,0.4949392712550607
11,0.5,training_dynamics,0.5301113360323887
11,0.75,self_influence,0.6905364372469636
11,0.75,cross_fit,0.597419028340081
11,0.75,training_dynamics,0.680161943319838
11,1.0,self_influence,0.5328947368421053
11,1.0,cross_fit,0.5984311740890689
11,1.0,training_dynamics,0.8150303643724697
12,0.0,self_influence,0.46114742193173563
12,0.0,cross_fit,0.5388525780682644
12,0.0,training_dynamics,0.24739772452190753
12,0.25,self_influence,0.579762769305253
12,0.25,cross_fit,0.5996126845800048
12,0.25,training_dynamics,0.4466230936819172
12,0.5,self_influence,0.5688695231178892
12,0.5,cross_fit,0.5446623093681917
12,0.5,training_dynamics,0.46744129750665697
12,0.75,self_influence,0.6678770273541516
12,0.75,cross_fit,0.5807310578552408
12,0.75,training_dynamics,0.6845800048414428
12,1.0,self_influence,0.4439603001694505
12,1.0,cross_fit,0.5570079883805374
12,1.0,training_dynamics,0.7877027354151537
13,0.0,self_influence,0.5076413652572593
13,0.0,cross_fit,0.6253183902190524
13,0.0,training_dynamics,0.2682119205298013
13,0.25,self_influence,0.6029037187977585
13,0.25,cross_fit,0.6597045338767193
13,0.25,training_dynamics,0.4396332144676516
13,0.5,self_influence,0.6472236372898624
13,0.5,cross_fit,0.5568008150789607
13,0.5,training_dynamics,0.5308201732042792
13,0.75,self_influence,0.6996943453897096
13,0.75,cross_fit,0.6248089658685685
13,0.75,training_dynamics,0.6831380539989812
13,1.0,self_influence,0.4276617422312787
13,1.0,cross_fit,0.5797249108507386
13,1.0,training_dynamics,0.8031074885379521
14,0.0,self_influence,0.5098039215686274
14,0.0,cross_fit,0.6143790849673203
14,0.0,training_dynamics,0.28456510809451985
14,0.25,self_influence,0.6458019105077929
14,0.25,cross_fit,0.6339869281045751
14,0.25,training_dynamics,0.4374057315233786
14,0.5,self_influence,0.6176470588235294
14,0.5,cross_fit,0.5329311211664153
14,0.5,training_dynamics,0.5294117647058824
14,0.75,self_influence,0.6390145801910507
14,0.75,cross_fit,0.5487682252388135
14,0.75,training_dynamics,0.6359979889391654
14,1.0,self_influence,0.43790849673202614
14,1.0,cross_fit,0.599798893916541
14,1.0,training_dynamics,0.8049270990447461
15,0.0,self_influence,0.45574795574795574
15,0.0,cross_fit,0.5406445406445406
15,0.0,training_dynamics,0.24579124579124578
15,0.25,self_influence,0.5670995670995671
15,0.25,cross_fit,0.5339105339105339
15,0.25,training_dynamics,0.3864838864838865
15,0.5,self_influence,0.5976430976430976
15,0.5,cross_fit,0.5048100048100048
15,0.5,training_dynamics,0.5478595478595478
15,0.75,self_influence,0.7258297258297258
15,0.75,cross_fit,0.6491101491101491
15,0.75,training_dynamics,0.6570466570466571
15,1.0,self_influence,0.4894179894179894
15,1.0,cross_fit,0.5998075998075998
15,1.0,training_dynamics,0.8172198172198172
16,0.0,self_influence,0.44776828110161443
16,0.0,cross_fit,0.5349002849002849
16,0.0,training_dynamics,0.2409781576448243
16,0.25,self_influence,0.5664767331433999
