seed,stage,detector,auroc,precision_at_budget,mean_flipped,mean_unflipped
8,stage2_poisoned_refit,self_influence,0.2905982905982906,0.038461538461538464,12.508007762855714,21.89271222566302
8,stage2_poisoned_refit,training_dynamics,0.20361990950226244,0.0,-2.3822115783539215,-1.3290424103208136
8,stage2_poisoned_refit,cross_fit,0.2893413775766717,0.11538461538461539,0.28148726211556657,0.44217488584428777
8,stage2_poisoned_refit,ensemble,0.24673202614379086,0.038461538461538464,53.46153846153846,96.20915032679738
9,stage0_pre_attack,self_influence,0.6492374727668845,0.3333333333333333,34.76264084273583,19.374134657054064
9,stage0_pre_attack,training_dynamics,0.5061728395061729,0.14814814814814814,-1.3884016708872755,-1.4344319095131952
9,stage0_pre_attack,cross_fit,0.6986201888162672,0.3333333333333333,0.581023075387068,0.41069948961770797
9,stage0_pre_attack,ensemble,0.6299927378358751,0.2962962962962963,108.55555555555556,87.31372549019608
9,stage1_flipped_clean_models,self_influence,0.9849915274751876,0.8888888888888888,528.7223514051699,19.374134657054064
9,stage1_flipped_clean_models,training_dynamics,0.9825708061002179,0.8888888888888888,1.3884016708872755,-1.4344319095131952
9,stage1_flipped_clean_models,cross_fit,0.47591382231905105,0.2222222222222222,0.418976924612932,0.41069948961770797
9,stage1_flipped_clean_models,ensemble,0.8686758654078915,0.4444444444444444,138.6172839506173,82.00871459694989
9,stage2_poisoned_refit,self_influence,0.31251512950859356,0.037037037037037035,7.248308053066067,16.14966745864639
9,stage2_poisoned_refit,training_dynamics,0.27959331880900506,0.0,-3.1067632553605087,-1.944138063850425
9,stage2_poisoned_refit,cross_fit,0.30888404744613895,0.037037037037037035,0.18686334307257788,0.34592295452454025
9,stage2_poisoned_refit,ensemble,0.28963931251512953,0.0,59.95061728395062,95.89106753812635
10,stage0_pre_attack,self_influence,0.13213859020310634,0.0,5.065623568560499,22.784583402829607
10,stage0_pre_attack,training_dynamics,0.0912783751493429,0.0,-3.0639886952614894,-1.3272799749225515
10,stage0_pre_attack,cross_fit,0.18566308243727597,0.037037037037037035,0.1815337933792237,0.46213538210354477
10,stage0_pre_attack,ensemble,0.11863799283154122,0.0,35.135802469135804,101.31827956989248
10,stage1_flipped_clean_models,self_influence,1.0,1.0,1260.3590218527563,22.784583402829607
10,stage1_flipped_clean_models,training_dynamics,1.0,1.0,3.0639886952614894,-1.3272799749225515
10,stage1_flipped_clean_models,cross_fit,0.8661887694145759,0.6296296296296297,0.8184662066207764,0.46213538210354477
10,stage1_flipped_clean_models,ensemble,0.977299880525687,0.8518518518518519,162.0864197530864,79.20430107526882
10,stage2_poisoned_refit,self_influence,0.33548387096774196,0.0,15.090041509230021,24.930869072189612
10,stage2_poisoned_refit,training_dynamics,0.21959378733572282,0.0,-2.105927551995408,-1.1738029126043348
10,stage2_poisoned_refit,cross_fit,0.2743130227001195,0.037037037037037035,0.2990145647124957,0.48526911266332284
10,stage2_poisoned_refit,ensemble,0.26559139784946234,0.0,56.85185185185184,97.53548387096774
11,stage0_pre_attack,self_influence,0.25025303643724695,0.038461538461538464,11.31355338073061,23.25345555601823
11,stage0_pre_attack,training_dynamics,0.1763663967611336,0.0,-2.412677108446308,-1.327222970861425
11,stage0_pre_attack,cross_fit,0.27606275303643724,0.07692307692307693,0.2795659169447174,0.46180853380193776
11,stage0_pre_attack,ensemble,0.2173582995951417,0.038461538461538464,49.1025641025641,96.41008771929825
11,stage1_flipped_clean_models,self_influence,1.0,1.0,950.4052237088913,23.25345555601823
11,stage1_flipped_clean_models,training_dynamics,1.0,1.0,2.412677108446308,-1.327222970861425
11,stage1_flipped_clean_models,cross_fit,0.7856781376518218,0.4230769230769231,0.7204340830552826,0.46180853380193776
11,stage1_flipped_clean_models,ensemble,0.9678643724696356,0.8076923076923077,154.64102564102564,78.35745614035088
11,stage2_poisoned_refit,self_influence,0.23836032388663966,0.0,9.887714118028745,22.85184298134834
11,stage2_poisoned_refit,training_dynamics,0.1958502024291498,0.0,-2.5566356068334675,-1.346421569113243
11,stage2_poisoned_refit,cross_fit,0.19989878542510123,0.0,0.19750366035345152,0.4445433027448294
11,stage2_poisoned_refit,ensemble,0.19648279352226722,0.0,45.62820512820513,97.00438596491227
12,stage0_pre_attack,self_influence,0.19196320503510045,0.037037037037037035,9.819391747801488,25.23430481015916
12,stage0_pre_attack,training_dynamics,0.1503267973856209,0.0,-2.515600803898268,-1.2019272698390744
12,stage0_pre_attack,cross_fit,0.1767126603727911,0.037037037037037035,0.23166199848618796,0.502344345325241
12,stage0_pre_attack,ensemble,0.14996368917937544,0.037037037037037035,40.46913580246914,99.32897603485839
12,stage1_flipped_clean_models,self_influence,1.0,1.0,1018.1117289654147,25.23430481015916
12,stage1_flipped_clean_models,training_dynamics,1.0,1.0,2.515600803898268,-1.2019272698390744
12,stage1_flipped_clean_models,cross_fit,0.8090050835148874,0.48148148148148145,0.768338001513812,0.502344345325241
12,stage1_flipped_clean_models,ensemble,0.976882110869039,0.7777777777777778,157.25925925925927,78.71895424836602
12,stage2_poisoned_refit,self_influence,0.2384410554345195,0.0,12.141632318926488,26.171721268181418
12,stage2_poisoned_refit,training_dynamics,0.17453401113531833,0.0,-2.21693606302398,-1.1782547429790018
12,stage2_poisoned_refit,cross_fit,0.16412490922294845,0.0,0.24289544133531654,0.5014296420498463
12,stage2_poisoned_refit,ensemble,0.15843621399176955,0.0,43.4320987654321,98.80610021786491
13,stage0_pre_attack,self_influence,0.26260825267447785,0.0,11.295925380972571,23.11515629723605
13,stage0_pre_attack,training_dynamics,0.16377992868059094,0.0,-2.4395834839158246,-1.1910048595252745
13,stage0_pre_attack,cross_fit,0.27330616403464086,0.038461538461538464,0.2778960283758598,0.4636651199481349
13,stage0_pre_attack,ensemble,0.22019867549668873,0.0,48.71794871794872,95.93598233995584
13,stage1_flipped_clean_models,self_influence,1.0,1.0,949.3203367919313,23.11515629723605
13,stage1_flipped_clean_models,training_dynamics,1.0,1.0,2.4395834839158246,-1.1910048595252745
13,stage1_flipped_clean_models,cross_fit,0.7913907284768212,0.4230769230769231,0.7221039716241401,0.4636651199481349
13,stage1_flipped_clean_models,ensemble,0.966760061130922,0.8076923076923077,154.0,77.80794701986756
13,stage2_poisoned_refit,self_influence,0.23229750382068262,0.0,9.832886623428925,23.52740340842427
13,stage2_poisoned_refit,training_dynamics,0.17116658176260827,0.0,-2.5187959707829872,-1.2509294929606931
13,stage2_poisoned_refit,cross_fit,0.20555272542027508,0.0,0.22659071029759242,0.4503076741998149
13,stage2_poisoned_refit,ensemble,0.1762608252674478,0.0,44.15384615384615,96.72185430463576
14,stage0_pre_attack,self_influence,0.6953242835595776,0.38461538461538464,36.087412871503496,19.11331453012446
14,stage0_pre_attack,training_dynamics,0.557315233785822,0.15384615384615385,-1.2643105173206595,-1.5370779804103836
14,stage0_pre_attack,cross_fit,0.7109100050276521,0.46153846153846156,0.6078692110927337,0.4072231081860102
14,stage0_pre_attack,ensemble,0.6737053795877326,0.34615384615384615,113.64102564102565,85.98257080610021
14,stage1_flipped_clean_models,self_influence,0.9979889391654098,0.9230769230769231,453.4823265352239,19.11331453012446
14,stage1_flipped_clean_models,training_dynamics,0.9891905480140775,0.8846153846153846,1.2643105173206595,-1.5370779804103836
14,stage1_flipped_clean_models,cross_fit,0.47058823529411764,0.2692307692307692,0.39213078890726627,0.4072231081860102
14,stage1_flipped_clean_models,ensemble,0.8743086978381096,0.38461538461538464,138.84615384615384,81.69934640522875
14,stage2_poisoned_refit,self_influence,0.32805429864253394,0.0,7.032616425439319,15.389613151788312
14,stage2_poisoned_refit,training_dynamics,0.28833584715937655,0.0,-3.027850567449514,-2.0523332067168747
14,stage2_poisoned_refit,cross_fit,0.3129713423831071,0.038461538461538464,0.17810009594348622,0.33527590130932283
14,stage2_poisoned_refit,ensemble,0.2998994469582705,0.0,60.897435897435905,94.94553376906318
15,stage0_pre_attack,self_influence,0.1972101972101972,0.07407407407407407,10.046403267997981,24.303735342198976
15,stage0_pre_attack,training_dynamics,0.12890812890812892,0.0,-2.6088502304813677,-1.2563177701232402
15,stage0_pre_attack,cross_fit,0.2178932178932179,0.07407407407407407,0.24042117747731084,0.4792534018348872
15,stage0_pre_attack,ensemble,0.16414141414141414,0.07407407407407407,41.92592592592592,99.6038961038961
15,stage1_flipped_clean_models,self_influence,1.0,1.0,1098.656849616591,24.303735342198976
15,stage1_flipped_clean_models,training_dynamics,0.9997594997594997,0.9629629629629629,2.6088502304813677,-1.2563177701232402
15,stage1_flipped_clean_models,cross_fit,0.8075998075998077,0.5555555555555556,0.759578822522689,0.4792534018348872
15,stage1_flipped_clean_models,ensemble,0.9676527176527177,0.8148148148148148,158.11111111111111,79.23376623376623
15,stage2_poisoned_refit,self_influence,0.2623857623857624,0.0,11.882747449391346,24.1210368007822
15,stage2_poisoned_refit,training_dynamics,0.1632996632996633,0.0,-2.318705457554554,-1.2238939368774806
