attack,detector,metric,n_seeds,mean,sd,median,min,max,p2_5,p97_5,block,alpha,stage,interval_type
,cross_fit,mean_unflipped,20,0.444082479653724,0.03516775875133096,0.4373768315381876,0.3992029429772761,0.5032455487573927,0.3994021636324195,0.5028174771271207,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,auroc,20,0.9303915043282972,0.04902255251526346,0.957408179262484,0.8506113092205807,0.980898296334538,0.8578722193920869,0.9792780689017037,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,precision_at_budget,20,0.6670940170940172,0.18796550634317521,0.7735042735042735,0.38461538461538464,0.8846153846153846,0.38461538461538464,0.8690527065527065,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_flipped,20,149.65930674264007,9.842867652431803,154.32051282051282,134.53846153846155,162.0864197530864,134.62371794871794,161.45895061728393,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_unflipped,20,79.72878644162338,1.7188260127082648,79.48343806730904,76.08948545861297,83.28632478632478,76.9057547002089,82.67945994637171,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.9965220925046057,0.005215223279103876,1.0,0.9849915274751876,1.0,0.9853000391039607,1.0,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,precision_at_budget,20,0.9735042735042734,0.03690241633482806,1.0,0.8888888888888888,1.0,0.9051282051282051,1.0,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_flipped,20,796.9915289533076,294.2088365315879,890.0257069451495,377.9611084444581,1260.3590218527563,381.0392070872485,1205.9957907154258,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_unflipped,20,21.774172921164627,2.599166840458912,21.04588306547503,18.397422036519558,26.271118324969393,18.6239930148086,25.77863190543453,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.9966129523438096,0.005035958894437217,1.0,0.9825708061002179,1.0,0.9857151835093012,1.0,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,precision_at_budget,20,0.9601851851851853,0.04853762316027343,1.0,0.8846153846153846,1.0,0.8846153846153846,1.0,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_flipped,20,2.046669020520358,0.6492852279769886,2.3610375336738336,1.170652739714483,3.0639886952614894,1.1745145404493877,2.9031213371818274,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_unflipped,20,-1.345692887530581,0.1188093139404092,-1.337345834167324,-1.5370779804103836,-1.1822239892852628,-1.5199221966040823,-1.18291873002821,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.28009167404409524,0.052678297072387234,0.2785039941902687,0.16412490922294845,0.4045400238948626,0.181117500418971,0.3687141785231198,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,precision_at_budget,20,0.050854700854700854,0.05328813929096676,0.037037037037037035,0.0,0.2222222222222222,0.0,0.1714743589743588,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,mean_flipped,20,0.23909038566173257,0.06603436611117575,0.23474307581645448,0.15666210787614418,0.3733955453573305,0.15695952300942936,0.35012067409716036,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,mean_unflipped,20,0.4158417423480748,0.06476032477775574,0.44335909429455855,0.33185926746400835,0.5014296420498463,0.33348216854053275,0.49601898327344107,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,auroc,20,0.24660135055857596,0.04503375382664959,0.25476347540105926,0.15843621399176955,0.310752688172043,0.1669029043477167,0.30559739859550106,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,precision_at_budget,20,0.00754985754985755,0.019608727046267455,0.0,0.0,0.07407407407407407,0.0,0.05715811965811961,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_flipped,20,53.77559354226021,5.9236221684957435,54.92853751187084,43.4320987654321,63.827160493827165,43.774928774928775,62.43554131054131,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_unflipped,20,96.37813682288787,1.8137866207249125,96.38788389907936,93.51111111111112,99.6923076923077,93.7273937360179,99.27135914194737,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.28312473523602755,0.03449977070210786,0.28934468935346247,0.22507122507122507,0.33548387096774196,0.2285037074772174,0.33446236559139786,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,precision_at_budget,20,0.011253561253561254,0.02134451703143705,0.0,0.0,0.07407407407407407,0.0,0.05715811965811961,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_flipped,20,9.671317365451142,2.996979813212564,10.088419160903323,5.6714190878835105,15.090041509230021,5.870594762781446,14.398826365388283,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_unflipped,20,20.69500567007564,4.2345752529542535,21.542284172888813,15.291959581852224,26.439357310779805,15.338345027571865,26.31223019054557,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.22361693314358141,0.04909819197371613,0.21160684841899263,0.16250636780438105,0.2969230769230769,0.16288318316464012,0.2932692307692307,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,precision_at_budget,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_flipped,20,-2.6283311093856265,0.36919505808395703,-2.5085669340628867,-3.118622745612854,-2.105927551995408,-3.114919635624404,-2.1586565947339795,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_unflipped,20,-1.5346392883328632,0.37077204158229926,-1.324958271767985,-2.0523332067168747,-1.1619427983675046,-2.0344047974669506,-1.167576352629999,stages,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_flipped,20,2.046669020520358,0.6492852279769886,2.3610375336738336,1.170652739714483,3.0639886952614894,1.1745145404493877,2.9031213371818274,cohort,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_unflipped,20,1.345692887530581,0.1188093139404092,1.337345834167324,1.1822239892852628,1.5370779804103836,1.18291873002821,1.5199221966040823,cohort,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_flipped,20,0.04057258028883913,0.03447469975295769,0.016560352297981265,0.00550183278622813,0.09367255654768689,0.008191084540679057,0.09029068166335472,cohort,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_unflipped,20,0.07763825183650108,0.008218584967188119,0.07708608123975302,0.06561134507329189,0.09049483835210212,0.06582445322228402,0.08994387256302733,cohort,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_flipped,20,-2.046669020520358,0.6492852279769886,-2.3610375336738336,-3.0639886952614894,-1.170652739714483,-2.903121337181828,-1.1745145404493877,cohort,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_unflipped,20,1.345692887530581,0.1188093139404092,1.337345834167324,1.1822239892852628,1.5370779804103836,1.18291873002821,1.5199221966040823,cohort,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_flipped,20,0.7294726165707646,0.1198881853130764,0.7996198352754667,0.5594454498096948,0.8835706457520082,0.5608940788882267,0.8659177522603981,cohort,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_unflipped,20,0.07763825183650108,0.008218584967188119,0.07708608123975302,0.06561134507329189,0.09049483835210212,0.06582445322228402,0.08994387256302733,cohort,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_flipped,20,2.6283311093856265,0.36919505808395703,2.5085669340628867,2.105927551995408,3.118622745612854,2.1586565947339795,3.114919635624404,cohort,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_signed_margin_unflipped,20,1.5346392883328632,0.37077204158229926,1.324958271767985,1.1619427983675046,2.0523332067168747,1.167576352629999,2.0344047974669506,cohort,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_flipped,20,0.015134826824182154,0.004644658080253668,0.015559131864759138,0.00755393049210613,0.024721626740499297,0.008399316755318128,0.023806427450042956,cohort,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,,mean_disagreement_unflipped,20,0.07612922437395782,0.013320011862437482,0.07855879863326234,0.058776845197384846,0.0944289778760936,0.05915168909788611,0.0931584880597822,cohort,,stage2_poisoned_refit,"repeated-split stability interval (same 300-example pool, not an independent CI)"
